EVENT_ID,EVENT_DATE,ARTIST_ID,VENUE_ID,EVENT_STATUS_ID,EVENT_DETAILS
1,2025-01-19,209,178,20,"The Steampunk magic of Synthwave Collective is coming to Ethereal Pavilion, ready to captivate the audience with a breathtaking performance."
2,2025-05-28,244,103,20,"Feel the rhythm as Solaris Dreams takes the stage at Rift Pavilion, delivering a Pop experience that will leave you spellbound."
3,2024-09-29,212,118,20,"Get ready for an evening of Reggae excellence as Solar Flare performs live at Starlight Ballroom, where music and atmosphere collide."
4,2024-10-30,235,166,20,"Get ready for an evening of Indie excellence as Silver Lining performs live at Harmony Cove, where music and atmosphere collide."
5,2025-06-17,228,119,30,"Step into the world of Pop with Prismatic Wave at Mystic Springs Theater, where their musical prowess will take center stage."
6,2024-09-21,219,116,50,"The Steampunk magic of Shadow Synapse is coming to Celestial Stage, ready to captivate the audience with a breathtaking performance."
7,2025-06-02,217,178,10,"The Steampunk magic of Quantum Drift is coming to Ethereal Pavilion, ready to captivate the audience with a breathtaking performance."
8,2025-05-19,205,112,30,"The Rap magic of Urban Flow is coming to Glimmer Amphitheater, ready to captivate the audience with a breathtaking performance."
9,2024-10-18,231,115,40,"Vortex Mirage is set to electrify the stage at Celestial Shores Amphitheater with their signature Steampunk sound, promising a night of unforgettable music."
10,2024-12-24,201,190,10,"Step into the world of Jazz with Jazz Quintet at Harmonic Haven, where their musical prowess will take center stage."
11,2025-02-24,244,144,30,"Step into the world of Pop with Solaris Dreams at Elysium Stage, where their musical prowess will take center stage."
12,2024-10-01,239,126,10,"Step into the world of Steampunk with Crimson Velvet at Elysium Stage, where their musical prowess will take center stage."
13,2025-05-22,218,162,20,"Experience the powerful Indie vibes of Elysian Fields live at Solar Flare Arena, where the energy will be off the charts."
14,2024-11-22,205,109,40,"Join us at Sonic Waves Theater for an evening of pure Rap bliss with Urban Flow, delivering a performance you won't want to miss."
15,2024-12-22,204,150,40,"Don't miss Clockwork Ensemble bringing their unique Steampunk style to Aurora Point, in what is sure to be a spectacular show."
16,2025-03-06,228,187,40,"The Pop magic of Prismatic Wave is coming to Solstice Pavilion, ready to captivate the audience with a breathtaking performance."
17,2024-12-15,227,142,30,"Join us at Galactic Theater for an evening of pure Metal bliss with Nova Symphony, delivering a performance you won't want to miss."
18,2024-10-14,243,138,20,"Feel the rhythm as Fireside Muse takes the stage at Blue Moon Stage, delivering a Indie experience that will leave you spellbound."
19,2025-03-30,209,114,20,"The legendary Synthwave Collective will be performing at Zephyr Lounge, bringing their renowned Steampunk sound to life in an epic concert."
20,2025-06-17,242,158,20,"At Velocity Hall, Lunar Echo will take you on a Indie journey like no other, blending innovation with raw talent."
21,2024-10-07,225,161,40,"Don't miss Frostbite bringing their unique Metal style to Vortex Plaza, in what is sure to be a spectacular show."
22,2025-03-09,247,162,10,"Join us at Solar Flare Arena for an evening of pure Pop bliss with Radiant Echo, delivering a performance you won't want to miss."
23,2024-11-29,226,118,20,"Join us at Starlight Ballroom for an evening of pure Steampunk bliss with Sonic Odyssey, delivering a performance you won't want to miss."
24,2024-11-27,200,172,50,"The Rock magic of The Echoes is coming to Dawn Sanctuary, ready to captivate the audience with a breathtaking performance."
25,2025-01-30,244,112,20,"Don't miss Solaris Dreams bringing their unique Pop style to Glimmer Amphitheater, in what is sure to be a spectacular show."
26,2024-12-30,241,107,20,"Step into the world of Rock with Midnight Sun at Nebula Plaza, where their musical prowess will take center stage."
27,2025-04-20,224,147,20,"The legendary Emerald Dream will be performing at Echo Plaza, bringing their renowned Steampunk sound to life in an epic concert."
28,2025-02-12,231,174,10,"Don't miss Vortex Mirage bringing their unique Steampunk style to Zephyr Theater, in what is sure to be a spectacular show."
29,2024-12-22,209,166,50,"Don't miss Synthwave Collective bringing their unique Steampunk style to Harmony Cove, in what is sure to be a spectacular show."
30,2025-02-11,227,162,10,"Step into the world of Metal with Nova Symphony at Solar Flare Arena, where their musical prowess will take center stage."
31,2024-09-12,213,158,40,"The legendary Phoenix Rise will be performing at Velocity Hall, bringing their renowned Rock sound to life in an epic concert."
32,2025-02-01,226,189,30,"Sonic Odyssey is set to electrify the stage at Mystic Springs Theater with their signature Steampunk sound, promising a night of unforgettable music."
33,2025-06-07,211,186,10,"Experience the powerful Jazz vibes of Echoes of Silence live at Velocity Hall, where the energy will be off the charts."
34,2024-12-17,204,187,50,"Clockwork Ensemble is set to electrify the stage at Solstice Pavilion with their signature Steampunk sound, promising a night of unforgettable music."
35,2024-09-30,246,121,30,"Step into the world of Rock with Prism Shatter at Velocity Hall, where their musical prowess will take center stage."
36,2025-07-01,245,158,50,"The Pop magic of Aurora Skies is coming to Velocity Hall, ready to captivate the audience with a breathtaking performance."
37,2024-10-07,245,141,20,"Aurora Skies is set to electrify the stage at Echo Heights with their signature Pop sound, promising a night of unforgettable music."
38,2024-11-05,205,128,40,"At Horizon Stage, Urban Flow will take you on a Rap journey like no other, blending innovation with raw talent."
39,2025-01-06,215,130,20,"Get ready for an evening of Metal excellence as Voidwalkers performs live at Nebula Lounge, where music and atmosphere collide."
40,2025-03-10,201,131,50,"The legendary Jazz Quintet will be performing at Celestial Plaza, bringing their renowned Jazz sound to life in an epic concert."
41,2025-06-29,210,195,50,"Step into the world of Metal with Crimson Eclipse at Spectrum Point, where their musical prowess will take center stage."
42,2024-10-19,234,173,50,"Don't miss Dusk Rider bringing their unique Rock style to Twilight Grove, in what is sure to be a spectacular show."
43,2025-04-30,212,128,50,"Feel the rhythm as Solar Flare takes the stage at Horizon Stage, delivering a Reggae experience that will leave you spellbound."
44,2025-07-01,213,112,40,"At Glimmer Amphitheater, Phoenix Rise will take you on a Rock journey like no other, blending innovation with raw talent."
45,2025-03-12,211,111,40,"The legendary Echoes of Silence will be performing at Aurora Pavilion, bringing their renowned Jazz sound to life in an epic concert."
46,2024-12-17,204,138,30,"The Steampunk magic of Clockwork Ensemble is coming to Blue Moon Stage, ready to captivate the audience with a breathtaking performance."
47,2025-04-03,211,127,20,"Echoes of Silence is set to electrify the stage at Solstice Pavilion with their signature Jazz sound, promising a night of unforgettable music."
48,2024-11-20,200,137,40,"Feel the rhythm as The Echoes takes the stage at Starlight Ballroom, delivering a Rock experience that will leave you spellbound."
49,2025-02-08,233,114,10,"Get ready for an evening of Indie excellence as Echo Wanderer performs live at Zephyr Lounge, where music and atmosphere collide."
50,2025-05-28,201,157,40,"Jazz Quintet is set to electrify the stage at Aurora Peak with their signature Jazz sound, promising a night of unforgettable music."
51,2025-04-30,247,187,30,"Don't miss Radiant Echo bringing their unique Pop style to Solstice Pavilion, in what is sure to be a spectacular show."
52,2025-03-08,214,131,40,"The Jazz magic of Neon Harmony is coming to Celestial Plaza, ready to captivate the audience with a breathtaking performance."
53,2025-05-06,225,128,50,"Get ready for an evening of Metal excellence as Frostbite performs live at Horizon Stage, where music and atmosphere collide."
54,2024-12-08,231,169,20,"Step into the world of Steampunk with Vortex Mirage at Nova Plaza, where their musical prowess will take center stage."
55,2025-05-29,223,152,20,"Get ready for an evening of Jazz excellence as Celestial Voices performs live at Velocity Plaza, where music and atmosphere collide."
56,2024-10-10,237,162,20,"Velvet Horizon is set to electrify the stage at Solar Flare Arena with their signature Jazz sound, promising a night of unforgettable music."
57,2025-04-05,211,185,30,"Step into the world of Jazz with Echoes of Silence at Gravity Point, where their musical prowess will take center stage."
58,2024-12-05,243,158,20,"At Velocity Hall, Fireside Muse will take you on a Indie journey like no other, blending innovation with raw talent."
59,2025-02-01,212,107,30,"Solar Flare is set to electrify the stage at Nebula Plaza with their signature Reggae sound, promising a night of unforgettable music."
60,2025-01-20,227,171,30,"Feel the rhythm as Nova Symphony takes the stage at Radiant Falls, delivering a Metal experience that will leave you spellbound."
61,2025-06-09,238,122,40,"Orion's Light is set to electrify the stage at Celestial Stage with their signature Metal sound, promising a night of unforgettable music."
62,2025-01-14,246,114,50,"Get ready for an evening of Rock excellence as Prism Shatter performs live at Zephyr Lounge, where music and atmosphere collide."
63,2025-01-21,201,187,10,"Jazz Quintet is set to electrify the stage at Solstice Pavilion with their signature Jazz sound, promising a night of unforgettable music."
64,2024-12-30,246,136,30,"The legendary Prism Shatter will be performing at Midnight Mirage, bringing their renowned Rock sound to life in an epic concert."
65,2025-07-04,241,187,20,"Midnight Sun is set to electrify the stage at Solstice Pavilion with their signature Rock sound, promising a night of unforgettable music."
66,2024-12-28,220,135,50,"Step into the world of Pop with Aurora Vega at Rift Pavilion, where their musical prowess will take center stage."
67,2025-03-05,220,111,20,"The legendary Aurora Vega will be performing at Aurora Pavilion, bringing their renowned Pop sound to life in an epic concert."
68,2024-12-15,208,177,10,"Feel the rhythm as Galactic Pulse takes the stage at Harmony Cove, delivering a Rock experience that will leave you spellbound."
69,2025-04-27,228,157,50,"Don't miss Prismatic Wave bringing their unique Pop style to Aurora Peak, in what is sure to be a spectacular show."
70,2025-05-05,201,165,10,"Get ready for an evening of Jazz excellence as Jazz Quintet performs live at Phoenix Hall, where music and atmosphere collide."
71,2024-09-20,204,104,40,"Don't miss Clockwork Ensemble bringing their unique Steampunk style to Aurora Falls Amphitheater, in what is sure to be a spectacular show."
72,2024-12-01,212,116,30,"Experience the powerful Reggae vibes of Solar Flare live at Celestial Stage, where the energy will be off the charts."
73,2025-03-02,231,158,40,"The legendary Vortex Mirage will be performing at Velocity Hall, bringing their renowned Steampunk sound to life in an epic concert."
74,2024-12-11,220,118,10,"The Pop magic of Aurora Vega is coming to Starlight Ballroom, ready to captivate the audience with a breathtaking performance."
75,2025-03-15,222,134,50,"At Zephyr Peak, Lyric Fire will take you on a Rap journey like no other, blending innovation with raw talent."
76,2024-11-28,232,176,50,"The legendary Electric Muse will be performing at Starlight Ballroom, bringing their renowned Pop sound to life in an epic concert."
77,2025-01-20,233,123,20,"The Indie magic of Echo Wanderer is coming to Radiant Peak, ready to captivate the audience with a breathtaking performance."
78,2025-05-11,227,157,30,"The Metal magic of Nova Symphony is coming to Aurora Peak, ready to captivate the audience with a breathtaking performance."
79,2025-01-13,200,101,10,"Don't miss The Echoes bringing their unique Rock style to Celestial Plaza, in what is sure to be a spectacular show."
80,2025-04-10,216,153,50,"Don't miss Starlight Reverie bringing their unique Pop style to Ember Hall, in what is sure to be a spectacular show."
81,2024-12-13,225,179,50,"Join us at Ethereal Pavilion for an evening of pure Metal bliss with Frostbite, delivering a performance you won't want to miss."
82,2024-09-15,206,154,40,"The Pop magic of Pop Sensation is coming to Dawn Sanctuary, ready to captivate the audience with a breathtaking performance."
83,2024-11-27,202,144,20,"Experience the powerful Metal vibes of Metal Storm live at Elysium Stage, where the energy will be off the charts."
84,2025-01-12,200,172,30,"At Dawn Sanctuary, The Echoes will take you on a Rock journey like no other, blending innovation with raw talent."
85,2025-02-04,222,156,20,"Get ready for an evening of Rap excellence as Lyric Fire performs live at Ethereal Pavilion, where music and atmosphere collide."
86,2025-04-28,240,131,20,"At Celestial Plaza, Pulsefire will take you on a Steampunk journey like no other, blending innovation with raw talent."
87,2025-05-31,205,105,10,"Feel the rhythm as Urban Flow takes the stage at Aurora Amphitheater, delivering a Rap experience that will leave you spellbound."
88,2025-05-09,214,159,20,"Experience the powerful Jazz vibes of Neon Harmony live at Whispering Pines Theater, where the energy will be off the charts."
89,2024-12-30,242,187,40,"Get ready for an evening of Indie excellence as Lunar Echo performs live at Solstice Pavilion, where music and atmosphere collide."
90,2024-09-16,238,190,20,"Get ready for an evening of Metal excellence as Orion's Light performs live at Harmonic Haven, where music and atmosphere collide."
91,2025-02-20,212,195,10,"Step into the world of Reggae with Solar Flare at Spectrum Point, where their musical prowess will take center stage."
92,2025-03-02,244,179,30,"The legendary Solaris Dreams will be performing at Ethereal Pavilion, bringing their renowned Pop sound to life in an epic concert."
93,2024-11-19,206,172,10,"Pop Sensation is set to electrify the stage at Dawn Sanctuary with their signature Pop sound, promising a night of unforgettable music."
94,2025-03-11,230,137,20,"At Starlight Ballroom, Iron Lotus will take you on a Steampunk journey like no other, blending innovation with raw talent."
95,2024-09-21,237,178,20,"Join us at Ethereal Pavilion for an evening of pure Jazz bliss with Velvet Horizon, delivering a performance you won't want to miss."
96,2024-09-19,234,102,40,"Dusk Rider is set to electrify the stage at Blue Moon Stage with their signature Rock sound, promising a night of unforgettable music."
97,2025-01-10,228,113,30,"Step into the world of Pop with Prismatic Wave at Chroma Stage, where their musical prowess will take center stage."
98,2024-12-15,228,105,50,"Don't miss Prismatic Wave bringing their unique Pop style to Aurora Amphitheater, in what is sure to be a spectacular show."
99,2024-10-06,212,163,20,"The legendary Solar Flare will be performing at Serenity Gardens, bringing their renowned Reggae sound to life in an epic concert."
100,2024-12-30,247,166,30,"Join us at Harmony Cove for an evening of pure Pop bliss with Radiant Echo, delivering a performance you won't want to miss."
101,2025-02-10,228,171,30,"Join us at Radiant Falls for an evening of pure Pop bliss with Prismatic Wave, delivering a performance you won't want to miss."
102,2024-10-29,236,122,40,"Feel the rhythm as Starfall Serenade takes the stage at Celestial Stage, delivering a Indie experience that will leave you spellbound."
103,2024-12-15,210,152,30,"The legendary Crimson Eclipse will be performing at Velocity Plaza, bringing their renowned Metal sound to life in an epic concert."
104,2025-04-04,228,103,10,"Feel the rhythm as Prismatic Wave takes the stage at Rift Pavilion, delivering a Pop experience that will leave you spellbound."
105,2024-11-11,226,179,10,"The legendary Sonic Odyssey will be performing at Ethereal Pavilion, bringing their renowned Steampunk sound to life in an epic concert."
106,2025-05-15,232,187,30,"Feel the rhythm as Electric Muse takes the stage at Solstice Pavilion, delivering a Pop experience that will leave you spellbound."
107,2025-04-04,213,148,30,"The legendary Phoenix Rise will be performing at Zephyr Peak, bringing their renowned Rock sound to life in an epic concert."
108,2024-11-28,213,164,40,"The Rock magic of Phoenix Rise is coming to Harmony Cove, ready to captivate the audience with a breathtaking performance."
109,2025-03-22,211,160,40,"Step into the world of Jazz with Echoes of Silence at Harmony Cove, where their musical prowess will take center stage."
110,2024-10-24,217,190,10,"At Harmonic Haven, Quantum Drift will take you on a Steampunk journey like no other, blending innovation with raw talent."
111,2024-09-12,215,112,50,"Don't miss Voidwalkers bringing their unique Metal style to Glimmer Amphitheater, in what is sure to be a spectacular show."
112,2025-03-28,224,130,30,"Join us at Nebula Lounge for an evening of pure Steampunk bliss with Emerald Dream, delivering a performance you won't want to miss."
113,2025-01-03,213,168,10,"Phoenix Rise is set to electrify the stage at Twilight Grove with their signature Rock sound, promising a night of unforgettable music."
114,2024-12-24,222,160,10,"Step into the world of Rap with Lyric Fire at Harmony Cove, where their musical prowess will take center stage."
115,2024-12-26,203,165,40,"Experience the powerful Reggae vibes of Reggae Roots live at Phoenix Hall, where the energy will be off the charts."
116,2024-11-04,206,170,10,"Pop Sensation is set to electrify the stage at Celestial Stage with their signature Pop sound, promising a night of unforgettable music."
117,2025-01-05,234,124,30,"Feel the rhythm as Dusk Rider takes the stage at Harmonic Haven, delivering a Rock experience that will leave you spellbound."
118,2025-02-16,235,152,50,"Don't miss Silver Lining bringing their unique Indie style to Velocity Plaza, in what is sure to be a spectacular show."
119,2024-11-24,247,117,10,"Step into the world of Pop with Radiant Echo at Galactic Theater, where their musical prowess will take center stage."
120,2024-12-18,216,180,30,"The Pop magic of Starlight Reverie is coming to Eclipse Pavilion, ready to captivate the audience with a breathtaking performance."
121,2024-09-09,230,133,30,"Feel the rhythm as Iron Lotus takes the stage at Neon Haven, delivering a Steampunk experience that will leave you spellbound."
122,2025-05-11,227,114,50,"Join us at Zephyr Lounge for an evening of pure Metal bliss with Nova Symphony, delivering a performance you won't want to miss."
123,2025-03-14,216,190,30,"Starlight Reverie is set to electrify the stage at Harmonic Haven with their signature Pop sound, promising a night of unforgettable music."
124,2025-01-10,231,111,20,"Feel the rhythm as Vortex Mirage takes the stage at Aurora Pavilion, delivering a Steampunk experience that will leave you spellbound."
125,2025-06-27,210,133,20,"The legendary Crimson Eclipse will be performing at Neon Haven, bringing their renowned Metal sound to life in an epic concert."
126,2025-03-27,208,140,50,"The Rock magic of Galactic Pulse is coming to Ember Pavilion, ready to captivate the audience with a breathtaking performance."
127,2024-09-20,239,140,20,"Step into the world of Steampunk with Crimson Velvet at Ember Pavilion, where their musical prowess will take center stage."
128,2025-06-25,229,112,30,"The Rock magic of Ruby Cascade is coming to Glimmer Amphitheater, ready to captivate the audience with a breathtaking performance."
129,2025-02-14,227,166,30,"Get ready for an evening of Metal excellence as Nova Symphony performs live at Harmony Cove, where music and atmosphere collide."
130,2024-12-13,234,128,30,"Don't miss Dusk Rider bringing their unique Rock style to Horizon Stage, in what is sure to be a spectacular show."
131,2025-05-04,213,189,10,"Feel the rhythm as Phoenix Rise takes the stage at Mystic Springs Theater, delivering a Rock experience that will leave you spellbound."
132,2024-12-15,225,139,10,"Step into the world of Metal with Frostbite at Solstice Pavilion, where their musical prowess will take center stage."
133,2025-02-11,239,141,50,"Get ready for an evening of Steampunk excellence as Crimson Velvet performs live at Echo Heights, where music and atmosphere collide."
134,2025-03-11,215,147,50,"Don't miss Voidwalkers bringing their unique Metal style to Echo Plaza, in what is sure to be a spectacular show."
135,2025-03-11,212,117,50,"Experience the powerful Reggae vibes of Solar Flare live at Galactic Theater, where the energy will be off the charts."
136,2025-05-25,206,108,40,"Get ready for an evening of Pop excellence as Pop Sensation performs live at Ether Dome, where music and atmosphere collide."
137,2025-05-13,245,115,40,"The legendary Aurora Skies will be performing at Celestial Shores Amphitheater, bringing their renowned Pop sound to life in an epic concert."
138,2024-09-09,210,152,10,"At Velocity Plaza, Crimson Eclipse will take you on a Metal journey like no other, blending innovation with raw talent."
139,2024-09-11,242,137,40,"Lunar Echo is set to electrify the stage at Starlight Ballroom with their signature Indie sound, promising a night of unforgettable music."
140,2025-02-27,214,113,10,"Step into the world of Jazz with Neon Harmony at Chroma Stage, where their musical prowess will take center stage."
141,2024-10-08,202,183,50,"At Serenity Gardens, Metal Storm will take you on a Metal journey like no other, blending innovation with raw talent."
142,2025-06-24,235,168,10,"Experience the powerful Indie vibes of Silver Lining live at Twilight Grove, where the energy will be off the charts."
143,2024-09-24,214,124,10,"The legendary Neon Harmony will be performing at Harmonic Haven, bringing their renowned Jazz sound to life in an epic concert."
144,2024-11-09,222,176,20,"Get ready for an evening of Rap excellence as Lyric Fire performs live at Starlight Ballroom, where music and atmosphere collide."
145,2024-11-09,221,105,20,"Step into the world of Rock with Rogue Alchemist at Aurora Amphitheater, where their musical prowess will take center stage."
146,2025-05-15,233,134,50,"The legendary Echo Wanderer will be performing at Zephyr Peak, bringing their renowned Indie sound to life in an epic concert."
147,2024-10-29,232,184,10,"Get ready for an evening of Pop excellence as Electric Muse performs live at Pulse Point, where music and atmosphere collide."
148,2025-05-28,212,135,20,"Experience the powerful Reggae vibes of Solar Flare live at Rift Pavilion, where the energy will be off the charts."
149,2024-09-30,207,126,50,"Don't miss Indie Vibes bringing their unique Indie style to Elysium Stage, in what is sure to be a spectacular show."
150,2024-11-16,202,125,30,"Get ready for an evening of Metal excellence as Metal Storm performs live at Blue Moon Gardens, where music and atmosphere collide."
151,2025-05-03,219,158,20,"Step into the world of Steampunk with Shadow Synapse at Velocity Hall, where their musical prowess will take center stage."
152,2024-11-24,206,184,30,"The Pop magic of Pop Sensation is coming to Pulse Point, ready to captivate the audience with a breathtaking performance."
153,2024-11-30,239,195,40,"Crimson Velvet is set to electrify the stage at Spectrum Point with their signature Steampunk sound, promising a night of unforgettable music."
154,2025-02-13,220,126,40,"Step into the world of Pop with Aurora Vega at Elysium Stage, where their musical prowess will take center stage."
155,2025-03-27,221,165,20,"Get ready for an evening of Rock excellence as Rogue Alchemist performs live at Phoenix Hall, where music and atmosphere collide."
156,2024-12-31,216,172,20,"Feel the rhythm as Starlight Reverie takes the stage at Dawn Sanctuary, delivering a Pop experience that will leave you spellbound."
157,2025-04-29,219,105,20,"Get ready for an evening of Steampunk excellence as Shadow Synapse performs live at Aurora Amphitheater, where music and atmosphere collide."
158,2025-01-26,207,106,10,"Join us at Radiant Gardens for an evening of pure Indie bliss with Indie Vibes, delivering a performance you won't want to miss."
159,2025-01-17,205,145,50,"Feel the rhythm as Urban Flow takes the stage at Aurora Falls Amphitheater, delivering a Rap experience that will leave you spellbound."
160,2025-01-13,213,118,50,"Get ready for an evening of Rock excellence as Phoenix Rise performs live at Starlight Ballroom, where music and atmosphere collide."
161,2025-06-20,204,160,30,"The Steampunk magic of Clockwork Ensemble is coming to Harmony Cove, ready to captivate the audience with a breathtaking performance."
162,2025-01-28,231,185,20,"Step into the world of Steampunk with Vortex Mirage at Gravity Point, where their musical prowess will take center stage."
163,2024-11-18,203,139,30,"Feel the rhythm as Reggae Roots takes the stage at Solstice Pavilion, delivering a Reggae experience that will leave you spellbound."
164,2025-03-26,236,185,20,"Don't miss Starfall Serenade bringing their unique Indie style to Gravity Point, in what is sure to be a spectacular show."
165,2025-06-15,246,123,10,"At Radiant Peak, Prism Shatter will take you on a Rock journey like no other, blending innovation with raw talent."
166,2025-05-11,245,157,10,"Feel the rhythm as Aurora Skies takes the stage at Aurora Peak, delivering a Pop experience that will leave you spellbound."
167,2025-07-02,243,112,10,"Get ready for an evening of Indie excellence as Fireside Muse performs live at Glimmer Amphitheater, where music and atmosphere collide."
168,2025-01-27,229,111,40,"Don't miss Ruby Cascade bringing their unique Rock style to Aurora Pavilion, in what is sure to be a spectacular show."
169,2024-12-11,237,138,20,"Don't miss Velvet Horizon bringing their unique Jazz style to Blue Moon Stage, in what is sure to be a spectacular show."
170,2025-06-10,230,193,40,"Experience the powerful Steampunk vibes of Iron Lotus live at Titanium Heights, where the energy will be off the charts."
171,2024-09-13,245,179,20,"Experience the powerful Pop vibes of Aurora Skies live at Ethereal Pavilion, where the energy will be off the charts."
172,2024-11-10,227,103,50,"Nova Symphony is set to electrify the stage at Rift Pavilion with their signature Metal sound, promising a night of unforgettable music."
173,2025-03-07,200,171,40,"Join us at Radiant Falls for an evening of pure Rock bliss with The Echoes, delivering a performance you won't want to miss."
174,2024-10-24,247,150,50,"Experience the powerful Pop vibes of Radiant Echo live at Aurora Point, where the energy will be off the charts."
175,2025-01-20,218,133,40,"Step into the world of Indie with Elysian Fields at Neon Haven, where their musical prowess will take center stage."
176,2024-12-17,217,139,50,"Quantum Drift is set to electrify the stage at Solstice Pavilion with their signature Steampunk sound, promising a night of unforgettable music."
177,2024-11-27,224,119,40,"Join us at Mystic Springs Theater for an evening of pure Steampunk bliss with Emerald Dream, delivering a performance you won't want to miss."
178,2025-05-03,228,176,10,"At Starlight Ballroom, Prismatic Wave will take you on a Pop journey like no other, blending innovation with raw talent."
179,2025-01-30,225,126,30,"Get ready for an evening of Metal excellence as Frostbite performs live at Elysium Stage, where music and atmosphere collide."
